star,evaluation,评价关键词,评论类型
star5,衣服拿在手上摸着感觉还好，可是这个牌子的衣服包装也太简陋了，就跟个地推货一样就包来了,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,还不错……好运气！,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,不错。。。质量不错。挺好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,还行。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,今天早上都收到货了，非常漂亮。比今天下单还多给了30块。想了一下。怕没有货了，早下手为强。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,此用户未填写评价内容,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,很喜欢，大小合适，下次还来,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,面料，尺寸都很好，整烫再美观点就更好了。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服大小合适！价格适中！大品牌做工精致！,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,正品，最满意的一次购物,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服质量好，京东服务特别好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,老板态度很好，号码不合适也给换货,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,还没穿，在实体店试过，略便宜。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服是正品，很好，有活动的时候价格很适中哟,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,料子不错，拍摄光线不好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,穿的大小合适 挺舒服 质量不错 应该是真的,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,穿着非常舒服，满意,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,给京东商城买的衣服到了。是正品京东快递真给力。包装好。儿子穿上很满意,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,物流很快，上身很舒服，不错,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,穿着很舒服，号也比较准确。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,物廉价美，质量杠杠，物流速度快，售后服务极好。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star2,越南产的质量不是太好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",中评
star3,物流倒是挺快的，包装惨不忍睹，就一个小破袋子，做工还凑合吧,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",中评
star3,没想到那么薄,柔软舒适(1)/,中评
star3,这件衣服吧，真的只能用一般来形容材质也不是很好，而且第一次下水，在没有放任何清洁剂的情况下，有比较明显的褪色现象，大概就只是这个牌子值钱吧,柔软舒适(1)/,中评
star3,面料材质：面料感觉一般，收到货也皱巴巴，运输过程产生的可以理解，不过说真的面料真感觉一般,柔软舒适(1)/,中评
star3,面料材质：做工差，绝对不是纯棉材质的。价签和实体店的也不一样。,柔软舒适(1)/,中评
star3,质量差，还脱黑色的绒毛，感觉不像真的,柔软舒适(1)/,中评
star3,挺薄的，不知道是不是正品,柔软舒适(1)/,中评
star2,质量不咋地,柔软舒适(1)/,中评
star3,衣服太薄了,柔软舒适(1)/,中评
star2,怀疑不是正品，掉色，掉毛，面料非常薄,柔软舒适(1)/,中评
star3,一般吧，感觉买亏了，价格跟物品还是有差距的。,柔软舒适(1)/,中评
star3,一般 觉得不值这个价,柔软舒适(1)/,中评
star2,太薄了,柔软舒适(1)/,中评
star3,衣服一般，还是一分钱一分货吧。,柔软舒适(1)/,中评
star3,一般,柔软舒适(1)/,中评
star3,面料材质：一般,柔软舒适(1)/,中评
star3,没想到那么薄,柔软舒适(1)/,中评
star3,这件衣服吧，真的只能用一般来形容材质也不是很好，而且第一次下水，在没有放任何清洁剂的情况下，有比较明显的褪色现象，大概就只是这个牌子值钱吧,柔软舒适(1)/,中评
star3,面料材质：面料感觉一般，收到货也皱巴巴，运输过程产生的可以理解，不过说真的面料真感觉一般,柔软舒适(1)/,中评
star3,面料材质：做工差，绝对不是纯棉材质的。价签和实体店的也不一样。,柔软舒适(1)/,中评
star3,质量差，还脱黑色的绒毛，感觉不像真的,柔软舒适(1)/,中评
star3,挺薄的，不知道是不是正品,柔软舒适(1)/,中评
star2,质量不咋地,柔软舒适(1)/,中评
star3,衣服太薄了,柔软舒适(1)/,中评
star2,怀疑不是正品，掉色，掉毛，面料非常薄,柔软舒适(1)/,中评
star3,一般吧，感觉买亏了，价格跟物品还是有差距的。,柔软舒适(1)/,中评
star3,一般 觉得不值这个价,柔软舒适(1)/,中评
star2,太薄了,柔软舒适(1)/,中评
star3,衣服一般，还是一分钱一分货吧。,柔软舒适(1)/,中评
star3,一般,柔软舒适(1)/,中评
star1,此用户未填写评价内容,柔软舒适(1)/,差评
star1,质量不好，穿几次就可以坏了。,柔软舒适(1)/,差评
star1,这么大的品牌，包装就这样敷衍？而且衣服薄的担心别人稍微拉你一下就破掉，新衣服没穿就皱巴巴的，严重怀疑不是正品，建议大家不要买！！！,柔软舒适(1)/,差评
star1,此用户未及时填写评价内容,柔软舒适(1)/,差评
star1,此用户未填写评价内容,柔软舒适(1)/,差评
star1,衣服跟穿过的一样，褪色，掉毛非常严重，胳膊上全是黑毛毛。,柔软舒适(1)/,差评
star1,此用户未填写评价内容,柔软舒适(1)/,差评
star1,严重掉色 建议都不要买,柔软舒适(1)/,差评
star1,不怎么样,柔软舒适(1)/,差评
star1,做工和面料不是很好，差评,柔软舒适(1)/,差评
star1,太薄了透亮的,柔软舒适(1)/,差评
star1,面料材质：包裹打开以后衣服全是褶子，看着就很脏，洗第一水洗完水都是黑的，我不知道衣服来自何处，之前经历了什么。,柔软舒适(1)/,差评
star1,??????,柔软舒适(1)/,差评
star1,感觉地摊货都比这质量好,柔软舒适(1)/,差评
star5,京东自营买的东西从来没有失望过，老公穿上非常合身。版型大小都特别好,柔软舒适(1)/,好评
star5,第一次穿出汗会起毛，满身都是哦,柔软舒适(1)/,好评
star5,质量好，穿起来很舒服，洗了不掉色不掉毛,柔软舒适(1)/,好评
star5,衣服不错，价格合适，尺码准确,柔软舒适(1)/,好评
star4,质量还是可以的，就是有点小贵。,柔软舒适(1)/,好评
star5,侄子很喜欢～穿着很舒服，衣服质量很好，黑色显瘦,柔软舒适(1)/,好评
star5,太不好了，这发的什么玩啊,柔软舒适(1)/,好评
star5,大小合适，质地绵柔，儿子喜欢。,柔软舒适(1)/,好评
star5,不错   很好看舒服,柔软舒适(1)/,好评
star5,儿子喜欢，价格不贵，值得购买,柔软舒适(1)/,好评
star5,材质很好，质量也不错，到货也很快真的超级喜欢，质量非常好，与卖家描述的一致！材质很好，质量也不错，到货也很快真的超级喜欢，质量非常好，与卖家描述的一致！,柔软舒适(1)/,好评
star5,好看,柔软舒适(1)/,好评
star5,宽松版式，很舒服的..,柔软舒适(1)/,好评
star5,商品物超所值，性价比高，物流也很快，值得购买。,柔软舒适(1)/,好评
star5,商品物超所值，性价比高，物流也很快，值得购买。,柔软舒适(1)/,好评
star5,差差差，变形，贴毛，客服说正常，一百多买的垃圾衣服，所谓的好评都是反红包评价的。以后不相信京东。第一次买很失望！衣服不确定是正品,柔软舒适(1)/,好评
star5,不是很满意,柔软舒适(1)/,好评
star5,很不错！适合我的要求！！！,柔软舒适(1)/,好评
star5,此用户未填写评价内容,柔软舒适(1)/,好评
star5,掉黑毛！怀疑衣服质量问题？,柔软舒适(1)/,好评
star5,"舒适程度：无弹力，非常舒服。
面料材质：纯棉吸汗",柔软舒适(1)/,好评
star5,衣服质感柔软，穿着非常舒服，京东自营值得信赖,柔软舒适(1)/,好评
star5,衣服好看，物流速度很快，体验很好！,柔软舒适(1)/,好评
star5,买错了 不过挺好,柔软舒适(1)/,好评
star5,质量不错，挺好的。值得推荐。不错的牌子,柔软舒适(1)/,好评
star5,码子偏大,柔软舒适(1)/,好评
star5,假货，要求退货补偿，质量非常差。要求退款,柔软舒适(1)/,好评
